Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,y
Male,23.0,1.740451347193368,53.13540415801042,no,yes,2.045134719336806,3.0,Frequently,no,1.045134719336806,no,2.954865280663194,1.9097305613263882,no,Public_Transportation,Insufficient_Weight
Female,20.32386033446866,1.621079534448229,45.0,no,yes,3.0,3.0,Frequently,no,1.2159068896457734,no,1.1079534448228867,0.0,Sometimes,Public_Transportation,Insufficient_Weight
Male,20.90199968786105,1.8732159975028884,62.90199968786105,yes,yes,3.0,3.41960006242779,Frequently,no,2.58039993757221,no,1.41960006242779,0.5803999375722101,Sometimes,Motorbike,Insufficient_Weight
Female,17.711945357302522,1.7644027321348739,50.0,no,yes,2.288054642697477,4.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
Male,17.0,1.8,68.0,yes,no,2.0,3.0,Sometimes,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Male,23.0,1.62,58.0,no,no,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
Female,26.0,1.59,47.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Normal_Weight
Male,22.232771340430304,1.6660337195741817,54.53445731913939,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.23277134043030423,1.7672286595696958,Sometimes,Bike,Normal_Weight
Male,41.0,1.8,99.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Frequently,Automobile,Obesity_Type_I
Male,21.189298716087873,1.7928394807413182,105.18929871608788,yes,yes,2.0,3.0,Always,no,1.1892987160878725,no,0.0,0.09464935804393626,Sometimes,Public_Transportation,Obesity_Type_I
Male,30.138214268992236,1.7727642853798449,109.18428569198966,yes,yes,2.9539285770025874,2.9078571540051747,Sometimes,no,1.0460714229974126,no,1.9539285770025874,0.09214284599482525,Sometimes,Automobile,Obesity_Type_I
Male,22.04072880231897,1.74,93.97963559884052,yes,yes,2.0,3.0,Sometimes,no,1.95927119768103,no,0.040728802318970136,0.040728802318970136,Sometimes,Public_Transportation,Obesity_Type_I
Male,24.044486520109608,1.7917794608043844,120.52224326005481,yes,no,2.5222432600548044,3.0,Sometimes,no,2.5222432600548044,no,2.0,0.47775673994519563,Sometimes,Walking,Obesity_Type_II
Male,27.226188170188674,1.7710952473192454,112.55476236596226,yes,yes,1.2773811829811326,3.0,Sometimes,yes,2.0,yes,0.0,0.2773811829811327,Sometimes,Bike,Obesity_Type_II
Male,23.738924690215516,1.8363053765489226,122.26107530978449,yes,no,3.0,2.3694623451077588,Frequently,no,2.3694623451077588,no,1.3694623451077585,0.0,Sometimes,Walking,Obesity_Type_II
Male,23.824968908625983,1.8358751554568702,122.17503109137401,yes,no,3.0,2.4124844543129926,Frequently,no,2.4124844543129926,no,1.4124844543129924,0.0,Sometimes,Walking,Obesity_Type_II
Male,19.780611340568242,1.8232589523100837,159.42283852816715,yes,yes,3.0,3.0,Frequently,no,2.2225764175710303,no,1.554847164857939,0.7774235824289695,Sometimes,Motorbike,Obesity_Type_III
Female,24.913340520575225,1.6885248113349003,120.28577853061391,yes,no,3.0,3.0,Sometimes,no,2.864167565071903,no,0.27166486985619387,0.13583243492809693,no,Automobile,Obesity_Type_III
Female,25.61552860642373,1.5748982665010804,105.4121836179894,yes,yes,3.0,3.0,Sometimes,yes,1.0480589241970337,no,0.09611784839406745,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,25.72201464312616,1.5707719325788614,104.46712004225535,yes,yes,3.0,3.0,Sometimes,yes,1.0347481696092302,no,0.06949633921846043,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,16.85510512790878,1.6014489487209123,65.0,no,yes,2.710210255817554,1.0,Sometimes,no,2.0,yes,0.8551051279087769,1.7102102558175538,Sometimes,Public_Transportation,Overweight_Level_I
Female,18.613264653699463,1.5061326465369946,58.61326465369946,yes,yes,2.6132646536994626,3.0,Frequently,no,1.0,no,0.6132646536994626,1.2265293073989252,Sometimes,Walking,Overweight_Level_I
Female,29.87345997747347,1.653163500563163,71.12654002252653,yes,yes,2.0,3.0,Sometimes,no,1.0632700112632656,no,0.12654002252653096,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21.4984837053128,1.745045488840616,78.4984837053128,yes,yes,2.5015162946871996,1.0,Sometimes,no,2.0,no,2.003032589374399,0.0,Sometimes,Walking,Overweight_Level_I
Female,26.082611412090234,1.5238012732810313,64.48757958006445,yes,no,2.0,1.0,Sometimes,no,1.7024840839871094,no,0.29751591601289074,0.0,no,Public_Transportation,Overweight_Level_II
Male,24.481209378256633,1.7259395310871684,83.51879062174336,no,yes,3.0,3.0,no,no,2.481209378256634,yes,1.9624187565132678,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,18.0,1.7540340964206644,85.40340964206645,yes,no,2.201704821033225,3.0,Sometimes,no,2.798295178966775,no,1.0,0.20170482103322485,Sometimes,Public_Transportation,Overweight_Level_II
Male,43.710291861424224,1.694841167445697,84.45235023370907,no,yes,3.0,3.0,Frequently,no,1.5158832554303112,no,0.0,0.0,no,Automobile,Overweight_Level_II
