Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,y
Male,32.24628063620289,1.757957926694361,111.5915853388722,yes,yes,1.204207330563899,2.591585338872202,no,yes,1.795792669436101,yes,0.2042073305638989,0.0,Frequently,Automobile,Obesity_Type_II
Male,31.107708568802643,1.754461457155987,116.43083427521056,yes,no,2.1077085688026416,3.0,Sometimes,no,2.553854284401321,no,0.0,1.1077085688026416,Sometimes,Automobile,Obesity_Type_II
Male,23.0,1.62,53.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Male,17.0,1.8982997721818244,59.9536301504134,no,no,2.984543383471133,3.0154566165288674,Sometimes,no,2.0,no,2.984543383471133,1.0,no,Walking,Insufficient_Weight
Female,26.0,1.6536648151855706,111.36648151855708,yes,no,3.0,3.0,Sometimes,no,2.8732963037114145,no,0.0,0.0633518481442927,no,Automobile,Obesity_Type_III
Female,17.75474614385591,1.6187737307192798,67.63211921578386,no,no,1.877373071927956,1.0,Sometimes,no,1.1226269280720444,no,0.0,1.7547461438559109,no,Public_Transportation,Overweight_Level_I
Male,19.0,1.8126620291454647,87.0,yes,yes,2.0,3.366898542726732,Sometimes,no,2.0,no,0.7337970854534641,0.366898542726732,no,Public_Transportation,Overweight_Level_I
Male,18.04359591362127,1.8688556072674416,172.6675811586378,yes,yes,3.0,3.0,Frequently,no,2.005449489202659,no,1.989101021594682,0.994550510797341,Sometimes,Public_Transportation,Obesity_Type_III
Female,22.0,1.56,49.0,no,yes,2.0,3.0,Sometimes,no,1.0,yes,2.0,0.0,no,Walking,Normal_Weight
Male,20.8938352492532,1.757863884091439,147.3172121628779,yes,yes,3.0,3.0,Frequently,no,1.6382705938433504,no,1.2765411876867008,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,19.0,1.82,75.0,yes,no,2.0,3.0,Frequently,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
Female,36.14336287482455,1.6535840718706136,79.85663712517545,yes,yes,2.0716814374122747,3.0,Sometimes,no,1.0716814374122747,no,0.0,1.8566371251754508,no,Automobile,Overweight_Level_II
Female,25.61552860642373,1.5748982665010804,105.4121836179894,yes,yes,3.0,3.0,Sometimes,yes,1.0480589241970335,no,0.0961178483940674,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,23.245781083045937,1.66672598303197,126.4436928879673,yes,yes,3.0,3.0,Sometimes,yes,1.3442773646192578,no,0.6885547292385157,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,25.0,1.7,83.0,yes,yes,2.3398026232822686,3.0,Frequently,no,2.3398026232822686,no,1.0194078698468063,0.6601973767177313,Sometimes,Public_Transportation,Overweight_Level_II
Male,21.38978837328173,1.848051058133592,124.61021162671828,yes,yes,3.0,1.1948941866408669,Always,no,1.1948941866408669,no,0.1948941866408666,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,18.398783044259687,1.704682892743204,75.0,yes,yes,2.867072318580104,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_I
Female,17.734840422988523,1.7012127661609182,45.0,no,no,3.0,3.0,Sometimes,no,3.0,yes,2.421719859003826,0.843439718007652,no,Walking,Insufficient_Weight
Male,18.34720626638538,1.860885835507384,170.35255221881147,yes,yes,3.0,3.0,Frequently,no,2.0434007832981727,no,1.9131984334036545,0.9565992167018272,Sometimes,Public_Transportation,Obesity_Type_III
Female,29.87345997747347,1.653163500563163,71.12654002252653,yes,yes,2.0,3.0,Sometimes,no,1.0632700112632656,no,0.1265400225265309,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,23.73892469021552,1.8363053765489223,122.26107530978447,yes,no,3.0,2.3694623451077588,Frequently,no,2.3694623451077588,no,1.3694623451077583,0.0,Sometimes,Walking,Obesity_Type_II
Male,19.0,1.819097305613264,87.0,yes,yes,2.0,3.045134719336806,Sometimes,no,2.0,no,0.0902694386736118,0.0451347193368059,no,Public_Transportation,Overweight_Level_I
Female,26.0,1.5732801066444997,103.32801066444996,yes,yes,3.0,3.0,Sometimes,yes,1.2656021328899925,no,0.0,0.8671989335550038,Sometimes,Public_Transportation,Obesity_Type_III
Female,21.0,1.687460478730633,75.0,yes,yes,2.0,3.0,Sometimes,no,1.650790425387339,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,30.5637095495468,1.757181452252266,114.2548381981872,yes,yes,1.5637095495468,3.0,no,yes,2.2818547747734,yes,0.0,0.5637095495467999,Sometimes,Automobile,Obesity_Type_II
Female,19.0,1.76484110543023,80.2420552715115,yes,yes,1.7579447284884997,1.4841105430230008,Sometimes,no,2.7579447284884995,no,3.0,0.7579447284884996,no,Public_Transportation,Overweight_Level_I
Female,26.0,1.59,47.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Normal_Weight
Female,18.65893364894974,1.4895360189369844,56.95360189369845,yes,yes,2.6589336489497413,3.0,Frequently,no,1.3410663510502585,no,1.0,2.0,Sometimes,Walking,Overweight_Level_I
Female,21.0,1.54,56.0,no,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Normal_Weight
Male,30.589557208845456,1.7817911441769092,109.7860762784606,yes,yes,2.8034809303848487,2.6069618607696974,Sometimes,no,1.1965190696151513,no,1.8034809303848487,0.3930381392303028,Sometimes,Automobile,Obesity_Type_I
Female,23.914443774112776,1.64081530375313,120.50931150474912,yes,yes,3.0,3.0,Sometimes,yes,1.260694528235903,no,0.5213890564718062,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,24.264928956196115,1.6079478686858837,98.51303282852916,yes,yes,3.0,1.7947868685883428,Frequently,no,1.0,no,0.5298579123922285,1.4701420876077715,Sometimes,Public_Transportation,Obesity_Type_II
